review_id,detail_id,candidate_id,space_name,raw_height_m,previous_type,resolution,clear_height_min_m,ceiling_height_type,evidence_url,reviewed_at,human_action,note
CEILING-RECHECK-001,DETAIL-001,CAND-018,コンベンションホール,10,nominal_review,resolved_filterable,10,published_clear,https://dejima-messe.jp/facility,2026-08-06,,公式ページが当該区画の天井高・天高・床面から天井までの高さを単一値として掲載
CEILING-RECHECK-002,DETAIL-002,CAND-018,イベント・展示ホール,12,nominal_review,resolved_filterable,12,published_clear,https://dejima-messe.jp/facility,2026-08-06,,公式ページが当該区画の天井高・天高・床面から天井までの高さを単一値として掲載
CEILING-RECHECK-003,DETAIL-003,CAND-012,大展示場,10.4,nominal_review,resolved_filterable,10.4,published_clear,https://www.kunibikimesse.jp/facilitys/floorguide_u/1,2026-08-06,,公式ページが当該区画の天井高・天高・床面から天井までの高さを単一値として掲載
CEILING-RECHECK-004,DETAIL-004,CAND-012,多目的ホール,8.4,nominal_review,resolved_filterable,8.4,published_clear,https://www.kunibikimesse.jp/facilitys/floorguide_u/2,2026-08-06,,公式ページが当該区画の天井高・天高・床面から天井までの高さを単一値として掲載
CEILING-RECHECK-007,DETAIL-007,CAND-045,多目的ホール,18,nominal_review,resolved_filterable,18,published_clear,https://www.asty-tokushima.jp/organizer/facility/hall/,2026-08-06,,公式ページが当該区画の天井高・天高・床面から天井までの高さを単一値として掲載
CEILING-RECHECK-010,DETAIL-010,CAND-027,展示ホール,21,nominal_review,resolved_filterable,21,minimum_clear,https://www.g-messe-gunma.jp/visitor-facilities-exhibitionhall.html,2026-08-06,,公式ページが天井トラス下端または吊天井下端の高さを明記
CEILING-RECHECK-011,DETAIL-011,CAND-027,メインホール,7,nominal_review,resolved_filterable,7,minimum_clear,https://www.g-messe-gunma.jp/visitor-facilities-mainhall.html,2026-08-06,,公式ページが天井トラス下端または吊天井下端の高さを明記
CEILING-RECHECK-012,DETAIL-012,CAND-010,コンベンションホールABC,9.9,nominal_review,resolved_filterable,9.9,minimum_clear,https://www.nara-cc.jp/facility/floor.html,2026-08-06,,公式ページが天井トラス下端または吊天井下端の高さを明記
CEILING-RECHECK-013,DETAIL-013,CAND-010,コンベンションホールA,9.9,nominal_review,resolved_filterable,9.9,minimum_clear,https://www.nara-cc.jp/facility/floor.html,2026-08-06,,公式ページが天井トラス下端または吊天井下端の高さを明記
CEILING-RECHECK-014,DETAIL-014,CAND-010,コンベンションホールB,9.9,nominal_review,resolved_filterable,9.9,minimum_clear,https://www.nara-cc.jp/facility/floor.html,2026-08-06,,公式ページが天井トラス下端または吊天井下端の高さを明記
CEILING-RECHECK-015,DETAIL-015,CAND-010,コンベンションホールC,9.9,nominal_review,resolved_filterable,9.9,minimum_clear,https://www.nara-cc.jp/facility/floor.html,2026-08-06,,公式ページが天井トラス下端または吊天井下端の高さを明記
CEILING-RECHECK-016,DETAIL-016,CAND-010,天平ホール,8,nominal_review,resolved_filterable,8,minimum_clear,https://www.nara-cc.jp/facility/floor.html,2026-08-06,,公式ページが天井トラス下端または吊天井下端の高さを明記
CEILING-RECHECK-018,DETAIL-018,CAND-028,幕張イベントホール,27,nominal_review,resolved_excluded,,highest_point,https://www.m-messe.co.jp/organizers/guide/eventhall/guide_eventhall?newwindow=true,2026-08-06,,公式ページが最高部・最高天井・建物高さの値と明記しており、最低有効高には使えない
CEILING-RECHECK-020,DETAIL-020,CAND-029,南展示棟 南1ホール,12,nominal_review,resolved_filterable,12,published_clear,https://www.bigsight.jp/organizer/facilities/south.html,2026-08-06,,公式ページが当該区画の天井高・天高・床面から天井までの高さを単一値として掲載
CEILING-RECHECK-023,DETAIL-023,CAND-040,5号館Bゾーン,5,nominal_review,resolved_filterable,5,published_clear,https://www.intex-osaka.com/jp/organizer/guide/download/file/hall_5ab_detail.pdf,2026-08-06,,公式ページが当該区画の天井高・天高・床面から天井までの高さを単一値として掲載
CEILING-RECHECK-028,DETAIL-028,CAND-008,展示イベントホール 全ブロック,12,nominal_review,resolved_filterable,12,published_clear,https://www.actcity.jp/user/exhibition/spec/,2026-08-06,,公式ページが当該区画の天井高・天高・床面から天井までの高さを単一値として掲載
CEILING-RECHECK-029,DETAIL-029,CAND-008,展示イベントホール 第3ブロック,12,nominal_review,resolved_filterable,12,published_clear,https://www.actcity.jp/user/exhibition/spec/,2026-08-06,,公式ページが当該区画の天井高・天高・床面から天井までの高さを単一値として掲載
CEILING-RECHECK-031,DETAIL-031,CAND-041,展示場 A+B+C,10,nominal_review,resolved_filterable,10,published_clear,https://www.himeji-ccc.jp/organizer/exhibition.html,2026-08-06,,公式ページが当該区画の天井高・天高・床面から天井までの高さを単一値として掲載
CEILING-RECHECK-032,DETAIL-032,CAND-041,展示場B,10,nominal_review,resolved_filterable,10,published_clear,https://www.himeji-ccc.jp/organizer/exhibition.html,2026-08-06,,公式ページが当該区画の天井高・天高・床面から天井までの高さを単一値として掲載
CEILING-RECHECK-034,DETAIL-034,CAND-001,メインアリーナ,12.5,nominal_review,resolved_filterable,12.5,published_clear,https://www.city.hakodate.hokkaido.jp/docs/2014040900082/,2026-08-06,,公式ページが当該区画の天井高・天高・床面から天井までの高さを単一値として掲載
CEILING-RECHECK-035,DETAIL-035,CAND-001,サブアリーナ,12.5,nominal_review,resolved_filterable,12.5,published_clear,https://www.city.hakodate.hokkaido.jp/docs/2014040900082/,2026-08-06,,公式ページが当該区画の天井高・天高・床面から天井までの高さを単一値として掲載
CEILING-RECHECK-036,DETAIL-036,CAND-024,多目的集会展示場 全面,13.3,nominal_review,resolved_filterable,13.3,published_clear,https://www.convention.or.jp/facility/_data_1.html,2026-08-06,,公式ページが当該区画の天井高・天高・床面から天井までの高さを単一値として掲載
CEILING-RECHECK-037,DETAIL-037,CAND-024,多目的集会展示場 4分の1,13.3,nominal_review,resolved_filterable,13.3,published_clear,https://www.convention.or.jp/facility/_data_1.html,2026-08-06,,公式ページが当該区画の天井高・天高・床面から天井までの高さを単一値として掲載
CEILING-RECHECK-039,DETAIL-039,CAND-031,西館 大展示場 1/4 C,9,nominal_review,resolved_filterable,9,range_minimum,https://www.technohall.or.jp/facility.html,2026-08-06,,公式ページが同一物理ホールの膜天井9mと4分割利用を明記
