event_id,series,year,event_status,country,prefecture_or_state,city,venue_names,verification_status,source_url,note
JJF-1999,JJF,1999,held,日本,東京都,府中市,"府中青年の家 体育館;府中中央文化センター",verified,https://www.juggling.jp/jjf/jjf1999/,"第1回"
JJF-2000,JJF,2000,held,日本,京都府,京田辺市,"京都厚生年金休暇センター",verified,https://www.juggling.jp/jjf/jjf2000/,"現名称・現存状況は要再確認"
JJF-2001,JJF,2001,held,日本,愛知県,名古屋市,"志段味スポーツランド;名古屋市中村文化小劇場",verified,https://www.juggling.jp/jjf/jjf2001/,"体育空間と舞台空間の組合せ"
JJF-2002,JJF,2002,held,日本,神奈川県,川崎市・東京都世田谷区,"とどろきアリーナ;世田谷区烏山区民会館",verified,https://www.juggling.jp/jjf/jjf2002/,"複数自治体の組合せ"
JJF-2003,JJF,2003,held,日本,宮城県,仙台市,"仙台市泉総合運動場 泉体育館;仙台市青年文化センター 交流ホール",verified,https://www.juggling.jp/jjf/jjf2003/,"体育空間と舞台空間の組合せ"
JJF-2004,JJF,2004,held,日本,愛知県,名古屋市,"オアシス21 銀河の広場",verified,https://www.juggling.jp/jjf/jjf2004/,"併催会場は追加監査対象"
JJF-2005,JJF,2005,held,日本,大阪府,大阪市,"大阪府立体育会館 第2競技場",verified,https://www.juggling.jp/jjf/jjf2005/,"現愛称・現名称は要併記"
JJF-2006,JJF,2006,held,日本,東京都,渋谷区,"国立オリンピック記念青少年総合センター",verified,https://www.juggling.jp/jjf/jjf2006/,"以後の東京開催の基準会場"
JJF-2007,JJF,2007,held,日本,静岡県,静岡市,"清水テルサ;静岡市北部体育館;しずぎんホール ユーフォニア",verified,https://www.juggling.jp/jjf/jjf2007/,"3施設型"
JJF-2008,JJF,2008,held,日本,兵庫県,神戸市,"グリーンアリーナ神戸;神戸市立北区文化センター すずらんホール;メリケンパーク",verified,https://www.juggling.jp/jjf/jjf2008/,"屋外練習を含む"
JJF-2009,JJF,2009,held,日本,千葉県,千葉市,"千葉ポートアリーナ;青葉の森公園芸術文化ホール",verified,https://www.juggling.jp/jjf/jjf2009/,"体育空間と舞台空間の組合せ"
JJF-2010,JJF,2010,held,日本,山口県,山口市,"維新百年記念公園アリーナ;山口市民会館",verified,https://www.juggling.jp/jjf/jjf2010/,"体育空間と舞台空間の組合せ"
JJF-2011,JJF,2011,held,日本,東京都,渋谷区,"国立オリンピック記念青少年総合センター",verified,https://www.juggling.jp/jjf/jjf2011/,""
JJF-2012,JJF,2012,held,日本,東京都,渋谷区,"国立オリンピック記念青少年総合センター",verified,https://www.juggling.jp/jjf/jjf2012/,""
JJF-2013,JJF,2013,held,日本,静岡県,三島市,"三島市民体育館;三島市民文化会館 大ホール",verified,https://www.juggling.jp/jjf/jjf2013/,"ゲストステージ客席950の公式記載"
JJF-2014,JJF,2014,held,日本,東京都,渋谷区,"国立オリンピック記念青少年総合センター",verified,https://www.juggling.jp/jjf/jjf2014/,""
JJF-2015,JJF,2015,held,日本,福島県,郡山市,"ビッグパレットふくしま;けんしん郡山文化センター 中ホール",verified,https://www.juggling.jp/jjf/jjf2015/,"現愛称を併記"
JJF-2016,JJF,2016,held,日本,東京都,渋谷区,"国立オリンピック記念青少年総合センター",verified,https://www.juggling.jp/jjf/2016/jp/,""
JJF-2017,JJF,2017,held,日本,福岡県,福岡市,"福岡国際会議場",verified,https://www.juggling.jp/jjf/2017/jp/,"公式報告で参加者561"
JJF-2018,JJF,2018,held,日本,東京都,渋谷区,"国立オリンピック記念青少年総合センター",verified,https://www.juggling.jp/jjf/2018/jp/,""
JJF-2019,JJF,2019,held,日本,東京都,渋谷区,"国立オリンピック記念青少年総合センター",verified,https://www.juggling.jp/jjf/2019/jp/,""
JJF-2020,JJF,2020,hybrid_decentralized,日本,複数,全国8地域,"オンライン;札幌市 篠路コミュニティセンター;仙台市 西山コミュニティセンター;仙台市 川内コミュニティセンター;国立オリンピック記念青少年総合センター スポーツ棟 B1F 第4体育室;墨田区みどりコミュニティセンター 4・5階 多目的ホール;半田市 青山記念武道館 大道場;福井県産業会館 第一展示場;大阪市 大正区民ホール;春日市立 春日原小学校 体育館;春日市立 春日野小学校 体育館;中城村民体育館",verified,https://www.juggling.jp/jjf/2020/jp/,"オンライン＋全国8地域11施設の分散開催。チャンピオンシップは中止"
JJF-2021,JJF,2021,partially_cancelled,日本,東京都,渋谷区,"国立オリンピック記念青少年総合センター",verified,https://www.juggling.jp/jjf/2021/jp/,"チャンピオンシップ・ゲストステージ中止"
JJF-2022,JJF,2022,held,日本,東京都,渋谷区,"国立オリンピック記念青少年総合センター",verified,https://www.juggling.jp/jjf/2022/jp/,"公式チェックリストに上限650・来場約600/日の記載"
JJF-2023,JJF,2023,held,日本,東京都,渋谷区,"国立オリンピック記念青少年総合センター",verified,https://www.juggling.jp/jjf/2023/jp/,""
JJF-2024,JJF,2024,held,日本,兵庫県,姫路市,"アクリエひめじ",verified,https://www.juggling.jp/jjf/2024/jp/,"複合コンベンション施設型"
JJF-2025,JJF,2025,held,日本,長野県,松本市,"エア・ウォーターアリーナ松本;キッセイ文化ホール",verified,https://www.juggling.jp/jjf/2025/jp/,"体育空間と舞台空間の組合せ"
JJF-2026,JJF,2026,planned,日本,東京都,渋谷区,"国立オリンピック記念青少年総合センター",verified,https://www.juggling.jp/jjf/2026/jp/,"2026-10-10〜12開催予定"
JN-1999,JYYF_NATIONAL,1999,held,日本,愛知県,岡崎市,"愛知青年の家",verified,https://jyyf.org/2018jn/champions_utyj/,"前身UTYJ主催・UTYJ Yo-Yo Competition Vol.01"
JN-2000,JYYF_NATIONAL,2000,held,日本,愛知県,岡崎市,"愛知県青年の家",verified,https://jyyf.org/2018jn/champions_utyj/,"前身UTYJ主催・UTYJ Yo-Yo Competition Vol.02"
JN-2001,JYYF_NATIONAL,2001,held,日本,愛知県,岡崎市,"愛知県青年の家",verified,https://jyyf.org/2018jn/champions_utyj/,"前身UTYJ主催・UTYJ Yo-Yo Competition Vol.03 National"
JN-2002,JYYF_NATIONAL,2002,held,日本,愛知県,岡崎市,"愛知県青年の家",verified,https://jyyf.org/2018jn/champions_utyj/,"前身UTYJ主催・UTYJ Yo-Yo Competition Vol.04 National"
JN-2003,JYYF_NATIONAL,2003,held,日本,愛知県,岡崎市,"愛知県青年の家",verified,https://jyyf.org/2018jn/champions_jycc/,"前身JYCC主催・2003ジャパンナショナルヨーヨーコンテスト"
JN-2004,JYYF_NATIONAL,2004,held,日本,東京都,北区,"郷小学校 体育館",verified,https://jyyf.org/2018jn/champions_jycc/,"前身JYCC主催・2004ジャパンナショナルヨーヨーコンテスト"
JN-2005,JYYF_NATIONAL,2005,held,日本,愛知県,岡崎市,"愛知県青年の家",verified,https://jyyf.org/2018jn/champions_jycc/,"前身JYCC主催・2005ジャパンナショナルヨーヨーコンテスト"
JN-2006,JYYF_NATIONAL,2006,held,日本,神奈川県,横浜市,"横浜市教育会館",verified,https://jyyf.org/2018jn/champions_jycc/,"前身JYCC主催・2006ジャパンナショナルヨーヨーコンテスト"
JN-2007,JYYF_NATIONAL,2007,held,日本,神奈川県,横浜市,"横浜市教育会館",verified,https://www.jyyf.org/contest/2007/jn.php,""
JN-2008,JYYF_NATIONAL,2008,held,日本,大阪府,大阪市,"大阪市立北区民センター",verified,https://www.jyyf.org/contest/2008/jn.php,""
JN-2009,JYYF_NATIONAL,2009,held,日本,大阪府,大阪市,"大阪市立北区民センター",verified,https://www.jyyf.org/contest/2009/jn.php,""
JN-2010,JYYF_NATIONAL,2010,held,日本,神奈川県,横浜市,"横浜市教育会館",verified,https://www.jyyf.org/2010jn/,""
JN-2011,JYYF_NATIONAL,2011,held,日本,大阪府,大阪市,"大阪市立北区民センター",verified,https://www.jyyf.org/2011jn/,""
JN-2012,JYYF_NATIONAL,2012,held,日本,千葉県,市川市,"行徳文化ホールI&I",verified,https://www.jyyf.org/2012jn/,"公式案内の想定来場者600〜800、競技者100〜200"
JN-2013,JYYF_NATIONAL,2013,held,日本,愛知県,名古屋市,"ウインクあいち 大ホール",verified,https://www.jyyf.org/2013jl/,"全国大会欄を出典とする"
JN-2014,JYYF_NATIONAL,2014,held,日本,東京都,千代田区,"ベルサール秋葉原",verified,https://www.jyyf.org/2014jn/,""
JN-2015,JYYF_NATIONAL,2015,held,日本,東京都,千代田区,"ベルサール秋葉原",verified,https://www.jyyf.org/2015jn/,""
JN-2016,JYYF_NATIONAL,2016,held,日本,大阪府,大阪市,"大阪市立北区民センター",verified,https://www.jyyf.org/2016jn/,""
JN-2017,JYYF_NATIONAL,2017,held,日本,東京都,渋谷区,"渋谷区文化総合センター大和田 さくらホール",verified,https://www.jyyf.org/2017jn/,""
JN-2018,JYYF_NATIONAL,2018,held,日本,神奈川県,横浜市,"横浜市教育会館",verified,https://www.jyyf.org/2018jn/,""
JN-2019,JYYF_NATIONAL,2019,held,日本,神奈川県,横浜市,"横浜市教育会館",verified,https://www.jyyf.org/2019jn/,""
JN-2020,JYYF_NATIONAL,2020,held,日本,愛知県,岩倉市,"岩倉市総合体育文化センター",verified,https://www.jyyf.org/2020jn/,""
JN-2021,JYYF_NATIONAL,2021,held,日本,神奈川県,横浜市,"横浜市教育会館",verified,https://www.jyyf.org/2021jn/,""
JN-2022,JYYF_NATIONAL,2022,held,日本,神奈川県,横浜市,"横浜市教育会館",verified,https://www.jyyf.org/2022jn/,""
JN-2023,JYYF_NATIONAL,2023,held,日本,神奈川県,横浜市,"横浜市教育会館",verified,https://www.jyyf.org/news/4665,"公式開催日程告知"
JN-2024,JYYF_NATIONAL,2024,held,日本,神奈川県,横浜市,"横浜市教育会館",verified,https://jn24.yoyocontest.jp/,""
JN-2025,JYYF_NATIONAL,2025,held,日本,神奈川県,横浜市,"横浜市教育会館 サンライズホール",verified,https://jn25.yoyocontest.jp/,"公式ページではサンライズホールと明記"
JN-2026,JYYF_NATIONAL,2026,held,日本,神奈川県,横浜市,"横浜市教育会館 サンライズホール",verified,https://jn26.yoyocontest.jp/,""
JUNIOR-2018,JYYF_JUNIOR,2018,held,日本,愛知県,岩倉市,"岩倉市総合体育文化センター 多目的ホール",verified,https://jyyf.org/2018jj/,"第1回全日本ジュニア大会"
JUNIOR-2019,JYYF_JUNIOR,2019,held,日本,愛知県,岩倉市,"岩倉市総合体育文化センター 多目的ホール",verified,https://jyyf.org/2019jj/,""
JUNIOR-2020,JYYF_JUNIOR,2020,held,日本,愛知県,岩倉市,"岩倉市総合体育文化センター 多目的ホール",verified,https://jyyf.org/2020jj/,"無観客開催"
JUNIOR-2021,JYYF_JUNIOR,2021,held,日本,愛知県,岩倉市,"岩倉市総合体育文化センター 多目的ホール",verified,https://2021jj.yoyocontest.jp/,"2021-09から延期し、実開催日は2022-03-26"
JUNIOR-2022,JYYF_JUNIOR,2022,held,日本,愛知県,岩倉市,"岩倉市総合体育文化センター 多目的ホール",verified,https://2022jj.yoyocontest.jp/,"実開催日は2022-09-25"
JUNIOR-2023,JYYF_JUNIOR,2023,held,日本,神奈川県,横浜市,"横浜市教育会館",verified,https://2023jj.yoyocontest.jp/,""
