alias_id,candidate_id,venue_name_contains,verification_status,note
ALIAS-001,CAND-052,大阪市立北区民センター,verified,"過去台帳の正式名称"
ALIAS-002,CAND-052,大阪市北区民センター,verified,"2022地区大会の表記揺れ"
ALIAS-003,CAND-053,横浜市教育会館,verified,"サンライズホール表記を含めて照合"
ALIAS-004,CAND-054,岩倉市総合体育文化センター,verified,"命名権導入前の名称"
ALIAS-005,CAND-054,アデリア総合体育文化センター,verified,"現行の命名権名称"
ALIAS-006,CAND-055,砂町文化センター,verified,"江東区表記の有無を吸収"
ALIAS-007,CAND-056,国立オリンピック記念青少年総合センター,verified,"スポーツ棟区画表記を含めて照合"
ALIAS-008,CAND-016,サンレイクかすや,verified,"過去台帳の施設名および多目的ホール併記を同じ現施設候補へ照合"
ALIAS-009,CAND-025,ビッグパレットふくしま,verified,"過去台帳と候補の施設名が一致。併用された文化センターはこの候補へ含めない"
ALIAS-010,CAND-034,エア・ウォーターアリーナ松本,verified,"複合候補のうち過去台帳に記載されたアリーナ名だけを照合。キッセイ文化ホールは同じ候補に含まれるが別名照合は重複計上防止のため登録しない"
ALIAS-011,CAND-041,アクリエひめじ,verified,"過去台帳と候補の施設名が一致。WYYC 2026予定行は開催済み件数と分離する"
ALIAS-012,CAND-057,横浜市技能文化会館,verified,"過去台帳の多目的ホール表記を含めて現施設候補へ照合"
ALIAS-013,CAND-058,ベルサール秋葉原,verified,"JYYF全国大会とWYYCの過去台帳施設名を現施設候補へ照合。利用階・区画は未確認"
