prefecture,region,candidate_count,municipality_count,space_count,capacity_known_count,area_known_count,ceiling_known_count,candidate_gap,municipality_gap,space_gap,status
北海道,北海道,22,16,125,43,56,2,3,0,0,expanding
青森県,東北,20,18,111,41,55,2,5,0,0,expanding
岩手県,東北,19,17,112,33,27,0,6,0,0,expanding
宮城県,東北,20,16,106,42,55,6,5,0,0,expanding
秋田県,東北,19,18,86,16,10,0,6,0,0,expanding
山形県,東北,19,17,84,32,30,3,6,0,0,expanding
福島県,東北,19,15,114,61,31,6,6,0,0,expanding
茨城県,関東,19,17,106,67,66,2,6,0,0,expanding
栃木県,関東,20,18,104,74,59,6,5,0,0,expanding
群馬県,関東,19,17,103,41,38,3,6,0,0,expanding
埼玉県,関東,19,17,123,94,42,0,6,0,0,expanding
千葉県,関東,19,18,97,64,52,2,6,0,0,expanding
東京都,関東,20,12,123,88,69,10,5,3,0,expanding
神奈川県,関東,22,15,178,106,96,13,3,0,0,expanding
新潟県,甲信越,25,19,158,50,89,5,0,0,0,reference_depth
富山県,北陸,20,15,138,38,43,13,5,0,0,expanding
石川県,北陸,19,17,83,37,29,3,6,0,0,expanding
福井県,北陸,20,16,110,30,4,0,5,0,0,expanding
山梨県,甲信越,19,15,84,34,44,2,6,0,0,expanding
長野県,甲信越,25,22,156,76,80,8,0,0,0,reference_depth
岐阜県,東海,25,19,186,98,85,2,0,0,0,reference_depth
静岡県,東海,19,16,118,59,30,10,6,0,0,expanding
愛知県,東海,20,16,150,73,47,6,5,0,0,expanding
三重県,東海,25,15,79,49,48,22,0,0,0,reference_depth
滋賀県,近畿,20,13,74,26,21,0,5,2,0,expanding
京都府,近畿,20,13,114,72,48,2,5,2,0,expanding
大阪府,近畿,25,12,182,77,49,18,0,3,0,expanding
兵庫県,近畿,20,14,111,47,27,21,5,1,0,expanding
奈良県,近畿,19,17,111,56,48,6,6,0,0,expanding
和歌山県,近畿,25,20,99,35,37,0,0,0,0,reference_depth
鳥取県,中国,19,16,89,44,42,1,6,0,0,expanding
島根県,中国,20,14,89,49,35,3,5,1,0,expanding
岡山県,中国,21,17,112,40,31,2,4,0,0,expanding
広島県,中国,25,18,105,56,41,5,0,0,0,reference_depth
山口県,中国,19,18,92,45,39,1,6,0,0,expanding
徳島県,四国,19,16,83,30,19,1,6,0,0,expanding
香川県,四国,20,16,89,15,26,0,5,0,0,expanding
愛媛県,四国,21,16,130,51,54,0,4,0,0,expanding
高知県,四国,25,18,142,63,71,1,0,0,0,reference_depth
福岡県,九州,20,15,146,104,91,7,5,0,0,expanding
佐賀県,九州,25,19,127,35,29,2,0,0,0,reference_depth
長崎県,九州,21,15,113,31,23,2,4,0,0,expanding
熊本県,九州,25,20,156,53,65,2,0,0,0,reference_depth
大分県,九州,19,17,120,35,37,5,6,0,0,expanding
宮崎県,九州,19,18,90,23,19,2,6,0,0,expanding
鹿児島県,九州,25,15,140,40,22,3,0,0,0,reference_depth
沖縄県,沖縄,21,16,114,44,44,2,4,0,0,expanding
