price_id,candidate_id,space_id,charge_category,use_case,day_type,time_band,amount_jpy,tax_status,unit,basis,valid_from,observed_at,verification_status,source_url,exclusions,note
PRICE-001,CAND-019,bcon-convention,facility,amateur_sports,weekday,09:00-22:00,349580,included,per_day,全面・入場無料または入場料3000円以下,,2026-07-30,verified,https://www.b-conplaza.jp/pdf/facility_usage_fee.pdf,冷暖房・設備・設営・警備・清掃,公式料金表の全日区分
PRICE-002,CAND-019,bcon-convention,facility,amateur_sports,weekend_holiday,09:00-22:00,419430,included,per_day,全面・入場無料または入場料3000円以下,,2026-07-30,verified,https://www.b-conplaza.jp/pdf/facility_usage_fee.pdf,冷暖房・設備・設営・警備・清掃,公式料金表の全日区分
PRICE-003,CAND-019,bcon-convention,hvac,all,all,all,27500,included,per_hour,全面利用,,2026-07-30,verified,https://www.b-conplaza.jp/pdf/facility_usage_fee.pdf,施設基本料・設備・設営・警備・清掃,半面東面は16500円/時
PRICE-004,CAND-045,asty-multipurpose,facility,大会・会議・アマチュアスポーツ・サークル活動等,weekday,09:00-13:00,82220,included,per_slot,入場料を徴収しない催事,2019-10-01,2026-07-30,verified,https://www.asty-tokushima.jp/organizer/reserve/usage-fee/,冷暖房・付帯設備・電気水道ガス・設営人件費・警備・清掃,午後13:00-17:00も同額。夜間区分は設定なし
PRICE-005,CAND-045,asty-multipurpose,facility,大会・会議・アマチュアスポーツ・サークル活動等,weekend_holiday,09:00-13:00,98770,included,per_slot,入場料を徴収しない催事,2019-10-01,2026-07-30,verified,https://www.asty-tokushima.jp/organizer/reserve/usage-fee/,冷暖房・付帯設備・電気水道ガス・設営人件費・警備・清掃,午後13:00-17:00も同額。夜間区分は設定なし
PRICE-006,CAND-045,asty-multipurpose,hvac_cooling,all,all,all,16010,included,per_hour,多目的ホール,2019-10-01,2026-07-30,verified,https://www.asty-tokushima.jp/organizer/reserve/usage-fee/,施設基本料・暖房・付帯設備・設営人件費・警備・清掃,準備・撤去・リハーサル時も課金
PRICE-007,CAND-045,asty-multipurpose,hvac_heating,all,all,all,13870,included,per_hour,多目的ホール,2019-10-01,2026-07-30,verified,https://www.asty-tokushima.jp/organizer/reserve/usage-fee/,施設基本料・冷房・付帯設備・設営人件費・警備・清掃,準備・撤去・リハーサル時も課金
PRICE-008,CAND-046,sunmesse-large,facility,展示場,weekday,09:00-21:00,779500,included,per_day,全面4015㎡,,2026-07-30,verified,https://www.sunmesse.com/organizer/price.php,冷暖房・付帯設備・電気水道・時間外・設営人件費・警備・清掃,準備・撤去利用は施設料金30%引き
PRICE-009,CAND-046,sunmesse-large,facility,展示場,weekend_holiday,09:00-21:00,935100,included,per_day,全面4015㎡,,2026-07-30,verified,https://www.sunmesse.com/organizer/price.php,冷暖房・付帯設備・電気水道・時間外・設営人件費・警備・清掃,準備・撤去利用は施設料金30%引き
PRICE-010,CAND-046,sunmesse-large,hvac,all,all,all,25100,included,per_hour,全面4015㎡,,2026-07-30,verified,https://www.sunmesse.com/organizer/price.php,施設基本料・付帯設備・電気水道・設営人件費・警備・清掃,1時間未満は1時間に切り上げ
PRICE-011,CAND-046,sunmesse-small,facility,展示場,weekday,09:00-21:00,263700,included,per_day,全面1022㎡,,2026-07-30,verified,https://www.sunmesse.com/organizer/price.php,冷暖房・付帯設備・電気水道・時間外・設営人件費・警備・清掃,準備・撤去利用は施設料金30%引き
PRICE-012,CAND-046,sunmesse-small,facility,展示場,weekend_holiday,09:00-21:00,316800,included,per_day,全面1022㎡,,2026-07-30,verified,https://www.sunmesse.com/organizer/price.php,冷暖房・付帯設備・電気水道・時間外・設営人件費・警備・清掃,準備・撤去利用は施設料金30%引き
PRICE-013,CAND-046,sunmesse-small,hvac,all,all,all,6400,included,per_hour,全面1022㎡,,2026-07-30,verified,https://www.sunmesse.com/organizer/price.php,施設基本料・付帯設備・電気水道・設営人件費・警備・清掃,1時間未満は1時間に切り上げ
PRICE-014,CAND-027,gmesse-exhibition,facility,non_profit,weekday,08:30-22:00,1883190,included,per_day,展示ホール全面10000㎡・非営利団体かつ非営利目的,,2026-07-30,verified,https://www.g-messe-gunma.jp/organizer-price.html,冷暖房・付帯設備・光熱水・設営人件費・警備・清掃,利用時間に設営撤去を含む。準備撤去の連続利用には別途設営料金あり
PRICE-015,CAND-027,gmesse-exhibition,facility,non_profit,weekend_holiday,08:30-22:00,2354010,included,per_day,展示ホール全面10000㎡・非営利団体かつ非営利目的,,2026-07-30,verified,https://www.g-messe-gunma.jp/organizer-price.html,冷暖房・付帯設備・光熱水・設営人件費・警備・清掃,利用時間に設営撤去を含む。準備撤去の連続利用には別途設営料金あり
PRICE-016,CAND-027,gmesse-exhibition,facility,non_profit,weekday,08:30-22:00,627730,included,per_day,展示ホール1/3・非営利団体かつ非営利目的,,2026-07-30,verified,https://www.g-messe-gunma.jp/organizer-price.html,冷暖房・付帯設備・光熱水・設営人件費・警備・清掃,A・B・Cのいずれか1区画
PRICE-017,CAND-027,gmesse-exhibition,facility,non_profit,weekend_holiday,08:30-22:00,784670,included,per_day,展示ホール1/3・非営利団体かつ非営利目的,,2026-07-30,verified,https://www.g-messe-gunma.jp/organizer-price.html,冷暖房・付帯設備・光熱水・設営人件費・警備・清掃,A・B・Cのいずれか1区画
PRICE-018,CAND-027,gmesse-main,facility,non_profit,weekday,08:30-22:00,322980,included,per_day,メインホール全面1330㎡・非営利団体かつ非営利目的,,2026-07-30,verified,https://www.g-messe-gunma.jp/organizer-price.html,冷暖房・付帯設備・光熱水・設営人件費・警備・清掃,利用時間に設営撤去を含む
PRICE-019,CAND-027,gmesse-main,facility,non_profit,weekend_holiday,08:30-22:00,403740,included,per_day,メインホール全面1330㎡・非営利団体かつ非営利目的,,2026-07-30,verified,https://www.g-messe-gunma.jp/organizer-price.html,冷暖房・付帯設備・光熱水・設営人件費・警備・清掃,利用時間に設営撤去を含む
PRICE-020,CAND-027,gmesse-exhibition,hvac,all,all,all,60000,included,per_hour,展示ホール全面10000㎡,,2026-07-30,verified,https://www.g-messe-gunma.jp/organizer-price.html,施設基本料・付帯設備・光熱水・設営人件費・警備・清掃,2/3は40000円/時、1/3は20000円/時
PRICE-021,CAND-027,gmesse-exhibition,equipment,all,all,all,4000,included,per_day,仮設ステージ大1台・W2400×D1200×H600/800/1000,,2026-07-30,verified,https://www.g-messe-gunma.jp/organizer-price.html,施設基本料・冷暖房・設営撤去・音響照明・警備・清掃,必要台数分を加算
PRICE-022,CAND-027,gmesse-exhibition,cleaning,all,all,all,150000,included,per_use,展示ホール全面・清掃1回,,2026-07-30,verified,https://www.g-messe-gunma.jp/data/gmesse-support_240501.pdf,施設基本料・冷暖房・設備・ごみ処理・警備,2/3は100000円、1/3は50000円
PRICE-023,CAND-027,gmesse-exhibition,network,all,all,all,35000,included,per_use,ギガ・ライン1回線・1週間以内,,2026-07-30,verified,https://www.g-messe-gunma.jp/data/gmesse-support_240501.pdf,施設基本料・配信機材・映像音響・人員・電源,回線追加と配信運用費は別確認
PRICE-024,CAND-010,nara-convention-a,facility,all,weekday,09:00-21:30,347500,included,per_day,コンベンションホールA・約730㎡,,2026-07-30,verified,https://www.nara-cc.jp/price/index.html,附帯設備・設営調整・レイアウト変更・警備・清掃,公式料金表の全日区分
PRICE-025,CAND-010,nara-convention-a,facility,all,weekend_holiday,09:00-21:30,417000,included,per_day,コンベンションホールA・約730㎡,,2026-07-30,verified,https://www.nara-cc.jp/price/index.html,附帯設備・設営調整・レイアウト変更・警備・清掃,公式料金表の全日区分
PRICE-026,CAND-010,nara-convention-b,facility,all,weekday,09:00-21:30,289500,included,per_day,コンベンションホールB・約600㎡,,2026-07-30,verified,https://www.nara-cc.jp/price/index.html,附帯設備・設営調整・レイアウト変更・警備・清掃,公式料金表の全日区分
PRICE-027,CAND-010,nara-convention-b,facility,all,weekend_holiday,09:00-21:30,347400,included,per_day,コンベンションホールB・約600㎡,,2026-07-30,verified,https://www.nara-cc.jp/price/index.html,附帯設備・設営調整・レイアウト変更・警備・清掃,公式料金表の全日区分
PRICE-028,CAND-010,nara-convention-c,facility,all,weekday,09:00-21:30,347500,included,per_day,コンベンションホールC・約770㎡,,2026-07-30,verified,https://www.nara-cc.jp/price/index.html,附帯設備・設営調整・レイアウト変更・警備・清掃,公式料金表の全日区分
PRICE-029,CAND-010,nara-convention-c,facility,all,weekend_holiday,09:00-21:30,417000,included,per_day,コンベンションホールC・約770㎡,,2026-07-30,verified,https://www.nara-cc.jp/price/index.html,附帯設備・設営調整・レイアウト変更・警備・清掃,公式料金表の全日区分
PRICE-030,CAND-010,nara-tenpyo,facility,all,weekday,09:00-21:30,330000,included,per_day,天平ホール・約600㎡,,2026-07-30,verified,https://www.nara-cc.jp/price/index.html,附帯設備・設営調整・レイアウト変更・警備・清掃,公式料金表の全日区分
PRICE-031,CAND-010,nara-tenpyo,facility,all,weekend_holiday,09:00-21:30,396000,included,per_day,天平ホール・約600㎡,,2026-07-30,verified,https://www.nara-cc.jp/price/index.html,附帯設備・設営調整・レイアウト変更・警備・清掃,公式料金表の全日区分
PRICE-032,CAND-010,nara-convention-abc,equipment,all,all,all,66000,included,per_day,固定式DLPプロジェクター1台・16000ルーメン・コンベンションホール全面利用時,2020-04-01,2026-07-30,verified,https://www.nara-cc.jp/price/data/ancillary_facilities_price_list.pdf,施設基本料・スクリーン・映像音響操作・設営調整,附帯設備料金表は1日あたり。設備・備品の一部は設営調整費が別途発生
