detail_id,candidate_id,space_id,space_name,space_type,area_m2,ceiling_height_m,clear_height_min_m,ceiling_height_type,overhead_use_status,capacity_theater,capacity_fixed,floor_load_kg_m2,divisible,stage_type,sports_or_practice_use,streaming_ready,source_url,observed_at,verification_status,note
DETAIL-001,CAND-018,dejima-convention,コンベンションホール,flat_hall,2700,10,10,published_clear,unknown,2628,,500,yes,temporary,conditional,yes,https://dejima-messe.jp/facility,2026-08-06,verified,カーペット張り平土間。4分割可
DETAIL-002,CAND-018,dejima-exhibition,イベント・展示ホール,exhibition,3800,12,12,published_clear,unknown,,,5000,yes,temporary,conditional,yes,https://dejima-messe.jp/facility,2026-08-06,verified,2分割可。床荷重5t/㎡を5000kg/㎡へ換算。全面シアター人数は配置依存のため未入力
DETAIL-003,CAND-012,kunibiki-large,大展示場,exhibition,4018,10.4,10.4,published_clear,unknown,5000,,5000,yes,temporary,conditional,unknown,https://www.kunibikimesse.jp/facilitys/floorguide_u/1,2026-08-06,verified,3分割運用可。床荷重5t/㎡を5000kg/㎡へ換算
DETAIL-004,CAND-012,kunibiki-multipurpose,多目的ホール,flat_hall,686,8.4,8.4,published_clear,unknown,650,,500,no,temporary,conditional,unknown,https://www.kunibikimesse.jp/facilitys/floorguide_u/2,2026-08-06,verified,特殊照明・大型スクリーン・音響設備あり
DETAIL-005,CAND-019,bcon-convention,コンベンションホール,arena,,,,unknown,unknown,,522,,yes,convertible,yes,unknown,https://www.b-conplaza.jp/organizer2/facilitie/convention/,2026-07-30,verified,アリーナ形式。固定席522はセンターアリーナ形式の公式仕様値
DETAIL-006,CAND-019,bcon-philharmonia,フィルハーモニアホール,theater,,,,unknown,unknown,1190,1106,,no,convertible,no,unknown,https://www.b-conplaza.jp/organizer2/facilitie/phil/,2026-07-30,verified,プロセニアム1106席、オープンステージ時970または1190席
DETAIL-007,CAND-045,asty-multipurpose,多目的ホール,arena,3000,18,18,published_clear,unknown,5000,1514,,no,convertible,yes,conditional,https://www.asty-tokushima.jp/organizer/facility/hall/,2026-08-06,verified,水平可動席1216・移動席2270。床耐荷重は通常部5t/㎡・昇降床部0.5t/㎡と混在するため数値欄は未入力。11tトラック乗入可
DETAIL-008,CAND-046,sunmesse-large,大展示場,exhibition,4015,,,unknown,unknown,4000,,,yes,temporary,conditional,unknown,https://www.sunmesse.com/organizer/price.php,2026-07-30,verified,A・B・Cの3面構成。2/3または1/3利用可
DETAIL-009,CAND-046,sunmesse-small,小展示場,exhibition,1022,,,unknown,unknown,800,,,no,temporary,conditional,unknown,https://www.sunmesse.com/organizer/price.php,2026-07-30,verified,主催者事務室は展示場利用時無料。天井高・床荷重は別資料で要確認
DETAIL-010,CAND-027,gmesse-exhibition,展示ホール,exhibition,10000,21,21,minimum_clear,unknown,10000,,5000,yes,temporary,conditional,yes,https://www.g-messe-gunma.jp/visitor-facilities-exhibitionhall.html,2026-08-06,verified,無柱。3分割時は各約3330㎡・シアター約2500人。大型車両が直接乗入可能。床荷重5t/㎡を5000kg/㎡へ換算
DETAIL-011,CAND-027,gmesse-main,メインホール,flat_hall,1330,7,7,minimum_clear,unknown,1000,,,yes,temporary,conditional,yes,https://www.g-messe-gunma.jp/visitor-facilities-mainhall.html,2026-08-06,verified,3分割時は各443㎡。平土間、吊物可、舞台照明・映像音響・LAN・大型貨物用エレベーターあり
DETAIL-012,CAND-010,nara-convention-abc,コンベンションホールABC,flat_hall,2100,9.9,9.9,minimum_clear,unknown,2000,,,yes,temporary,conditional,conditional,https://www.nara-cc.jp/facility/floor.html,2026-08-06,verified,無柱平土間。A・B・Cへ3分割可。基本レイアウトはフラットで、備品追加・レイアウト変更は別料金
DETAIL-013,CAND-010,nara-convention-a,コンベンションホールA,flat_hall,730,9.9,9.9,minimum_clear,unknown,700,,,yes,temporary,conditional,conditional,https://www.nara-cc.jp/facility/floor.html,2026-08-06,verified,全面ABCの1/3区画。スクール360人
DETAIL-014,CAND-010,nara-convention-b,コンベンションホールB,flat_hall,600,9.9,9.9,minimum_clear,unknown,521,,,yes,temporary,conditional,conditional,https://www.nara-cc.jp/facility/floor.html,2026-08-06,verified,全面ABCの1/3区画。スクール300人
DETAIL-015,CAND-010,nara-convention-c,コンベンションホールC,flat_hall,770,9.9,9.9,minimum_clear,unknown,700,,,yes,temporary,conditional,conditional,https://www.nara-cc.jp/facility/floor.html,2026-08-06,verified,全面ABCの1/3区画。スクール360人
DETAIL-016,CAND-010,nara-tenpyo,天平ホール,flat_hall,600,8,8,minimum_clear,unknown,504,,,no,temporary,conditional,conditional,https://www.nara-cc.jp/facility/floor.html,2026-08-06,verified,階段型座席を収納して平面利用可。階段型シアター476人。基本レイアウトはフラット＋ステージ
DETAIL-017,CAND-028,makuhari-exhibition-10,国際展示場 展示ホール10,exhibition,4500,16,16,minimum_clear,unknown,,,3000,no,temporary,conditional,conditional,https://www.m-messe.co.jp/organizers/guide/exhibitionhall/guide_exibition9-11,2026-07-30,verified,展示ホール10・11は各4500㎡。天井高16〜34mは9〜11全体の公表レンジで、検索用数値には最低値16mを収録。床荷重3t/㎡を3000kg/㎡へ換算。床下ピット、放送設備、Wi-Fi対応可
DETAIL-018,CAND-028,makuhari-event-hall,幕張イベントホール,arena,3098,27,,highest_point,unknown,9000,3948,,no,convertible,yes,conditional,https://www.m-messe.co.jp/organizers/guide/eventhall/guide_eventhall?newwindow=true,2026-08-06,verified,最大約9000人。固定3948席、可動912席、仮設約3000席。音響・照明、100箇所の吊フック、リハーサルルームあり
DETAIL-019,CAND-028,makuhari-convention-hall,国際会議場 コンベンションホール,conference,1390,7.5,7.5,range_minimum,unknown,1664,,,yes,temporary,conditional,yes,https://www.m-messe.co.jp/organizers/guide/conferencehall/guide_conference,2026-07-30,verified,天井高7.5〜9.0mの最低値を検索用数値に収録。A/B各670㎡へ分割可。スクール1026人、試験684人、立食1000人。国際会議場全館で無料Wi-Fi
DETAIL-020,CAND-029,bigsight-south-1,南展示棟 南1ホール,exhibition,5000,12,12,published_clear,unknown,,,5000,yes,temporary,conditional,conditional,https://www.bigsight.jp/organizer/facilities/south.html,2026-08-06,verified,約72m×72m。南2ホールとの間仕切り開放で10000㎡利用可。搬出入口3、主催者事務室1、商談室4。床耐荷重5t/㎡を5000kg/㎡へ換算
DETAIL-021,CAND-036,portmesse-first-full,第1展示館 全面,arena,20160,13,13,minimum_clear,unknown,5848,,5000,yes,convertible,yes,conditional,https://portmesse.com/facility/tenjikan01,2026-07-30,verified,約2万㎡の無柱空間。天井高はトラス下20m・垂壁部分13mのため検索用数値に最低値13mを収録。4分割可。5848席は可動階段席。床耐荷重5t/㎡を5000kg/㎡へ換算
DETAIL-022,CAND-036,portmesse-first-b,第1展示館 展示ホールB,exhibition,3360,13,13,minimum_clear,unknown,,,5000,no,temporary,conditional,conditional,https://portmesse.com/facility/tenjikan01,2026-07-30,verified,35m×96m。全面4分割時の最小区画。天井高はトラス下20m・垂壁部分13mのため検索用数値に最低値13mを収録。床耐荷重5t/㎡を5000kg/㎡へ換算
DETAIL-023,CAND-040,intex-hall-5b,5号館Bゾーン,exhibition,1625,5,5,published_clear,unknown,,,1000,no,temporary,conditional,conditional,https://www.intex-osaka.com/jp/organizer/guide/download/file/hall_5ab_detail.pdf,2026-08-06,verified,インテックス大阪で最小の展示区画。柱あり（12m×19m間隔）、搬出入口1か所、アンカー打設不可。光回線・事務所LAN口、空調、ワイヤレスマイク2ch等の設備記載あり
DETAIL-024,CAND-040,intex-hall-5a,5号館Aゾーン,exhibition,4728,6,6,minimum_clear,unknown,,,5000,no,temporary,conditional,conditional,https://www.intex-osaka.com/jp/organizer/guide/download/file/hall_5ab_detail.pdf,2026-07-30,verified,無柱空間。天井高6〜12mのため検索用数値に最低値6mを収録。搬出入口2か所、アンカー打設不可。5A・5Bの一体利用可
DETAIL-025,CAND-030,pacifico-exhibition-a,展示ホールA,exhibition,3300,13,13,minimum_clear,unknown,,,5000,yes,temporary,conditional,conditional,https://lp.pacifico.co.jp/hubfs/Annual_Report_2021_eng.pdf,2026-07-30,verified,展示ホール全体は20000㎡の無柱空間で4分割可。天井高13〜19mのため検索用数値に最低値13mを収録。床耐荷重5t/㎡を5000kg/㎡へ換算
DETAIL-026,CAND-030,pacifico-north-g1-g8,ノース 多目的ホール G1〜G8,flat_hall,6337,,,unknown,unknown,,,,yes,temporary,conditional,yes,https://lp.pacifico.co.jp/hubfs/north/guide/North.pdf,2026-07-30,verified,無柱・床面カーペット仕様。G1〜G8の8分割に対応。公式レイアウト例は全区画丸卓2340席、G1〜G4シアター3024席、G5＋G6シアター1440席。全区画のシアター収容は公開資料上で未確認
DETAIL-027,CAND-030,pacifico-north-g1-g4,ノース 多目的ホール G1〜G4,flat_hall,2840,,,unknown,unknown,3024,,,yes,temporary,conditional,yes,https://lp.pacifico.co.jp/hubfs/north/guide/North.pdf,2026-07-30,verified,G1・G2各681㎡、G3・G4各739㎡の合計。公式レイアウト図にシアター3024席。区画ごとの分割利用も可能
DETAIL-028,CAND-008,actcity-exhibition-full,展示イベントホール 全ブロック,exhibition,3500,12,12,published_clear,unknown,3000,,2000,yes,temporary,yes,conditional,https://www.actcity.jp/user/exhibition/spec/,2026-08-06,verified,35m×100m、3分割可。吊フック約200個・2t/点、各ブロックに幅4.7m×高さ4.0mの搬入口があり車両乗入可。控室6、主催者事務室、更衣室2
DETAIL-029,CAND-008,actcity-exhibition-block3,展示イベントホール 第3ブロック,exhibition,1100,12,12,published_clear,unknown,,,2000,no,temporary,yes,conditional,https://www.actcity.jp/user/exhibition/spec/,2026-08-06,verified,最小料金の1100㎡区画。LAN、臨時電話、臨時電源に対応。床はコンクリート
DETAIL-030,CAND-008,actcity-middle-hall,中ホール,stage_hall,190,15.5,,stage_clearance,unknown,1030,1030,,no,fixed,conditional,yes,https://www.actcity.jp/user/concert/spec/,2026-07-30,verified,面積190㎡は舞台。舞台間口18.5m・高さ15.5m・奥行10.5m。固定1030席、リハーサル室2、楽屋8、400インチ大型映像スクリーン、LAN・Wi-Fi・舞台モニタ
DETAIL-031,CAND-041,acrie-exhibition-full,展示場 A+B+C,exhibition,4000,10,10,published_clear,unknown,4032,,5000,yes,temporary,yes,conditional,https://www.himeji-ccc.jp/organizer/exhibition.html,2026-08-06,verified,無柱・コンクリート平土間。縦長レイアウトのシアター4032席、横長3456席。床ピット、横看板用吊バトン、500インチ電動スクリーン、10t車進入可
DETAIL-032,CAND-041,acrie-exhibition-b,展示場B,exhibition,920,10,10,published_clear,unknown,720,,5000,no,temporary,yes,conditional,https://www.himeji-ccc.jp/organizer/exhibition.html,2026-08-06,verified,3分割時の最小区画。搬入口は開口幅約6m・高さ約5m、主催者控室約20㎡。床はコンクリート平土間
DETAIL-033,CAND-041,acrie-middle-hall,中ホール,stage_hall,,12,,stage_opening,unknown,693,693,800,no,fixed,conditional,conditional,https://www.himeji-ccc.jp/organizer/middle_hall.html,2026-08-06,verified,"固定693席。舞台開口は幅約16m・高さ約12m、反射板使用時は高さ約11.5m。これは客席を含む最低天井高ではないため検索対象外。舞台床荷重約800kg/㎡、10t車最大2台"
DETAIL-034,CAND-001,hakodate-main-arena,メインアリーナ,arena,2860,12.5,12.5,published_clear,unknown,5000,2120,,yes,temporary,yes,unknown,https://www.city.hakodate.hokkaido.jp/docs/2014040900082/,2026-08-06,verified,44m×65m。収容5000人はイベント内容で変動するため、個別レイアウトは要確認。全面・2/3・1/3で料金区分あり
DETAIL-035,CAND-001,hakodate-sub-arena,サブアリーナ,arena,1000,12.5,12.5,published_clear,unknown,1044,208,,yes,temporary,conditional,unknown,https://www.city.hakodate.hokkaido.jp/docs/2014040900082/,2026-08-06,verified,25m×40m。2分割料金あり。専用使用は原則平日午前・午後で、メインアリーナ全面使用時は原則貸出不可
DETAIL-036,CAND-024,yamagata-bigwing-full,多目的集会展示場 全面,exhibition,3830,13.3,13.3,published_clear,unknown,4000,,,yes,temporary,conditional,conditional,https://www.convention.or.jp/facility/_data_1.html,2026-08-06,verified,第1〜第4集会展示場を一体利用。公式施設紹介は3分割可、公式料金は4分の1単位の料金を掲載。椅子3500席・机椅子2200席の目安もあるため4000人は催事別レイアウト確認が必要
DETAIL-037,CAND-024,yamagata-bigwing-quarter,多目的集会展示場 4分の1,exhibition,935,13.3,13.3,published_clear,unknown,1000,,,no,temporary,conditional,conditional,https://www.convention.or.jp/bigwing/shisetsu/,2026-08-06,verified,第1・第4区画の床面積は各935.28㎡、第2・第3は各980.39㎡。本行は料金表の4分の1区分に合わせ最小側935㎡を採用
DETAIL-038,CAND-031,techno-west-full,西館 大展示場 全面,exhibition,3634,9,9,range_minimum,unknown,3000,,5000,yes,temporary,conditional,conditional,https://www.technohall.or.jp/facility.html,2026-07-30,verified,91.3m×38.8m、膜天井。シアター約2700〜3000人、3ゾーン完全分割と1/2・1/4・3/4利用に対応。床荷重5t/㎡、搬入口5か所、トラック搬入可、5Gアンテナ設置
DETAIL-039,CAND-031,techno-west-quarter-c,西館 大展示場 1/4 C,exhibition,877,9,9,range_minimum,unknown,,,5000,no,temporary,conditional,conditional,https://www.technohall.or.jp/pdf/sonota/nisi-ryokin202310.pdf,2026-08-06,verified,現行料金表で最小面積の1/4区画C。1/4区画Bは940㎡。膜天井・床暖房のため床面保護条件は利用手引で要確認
DETAIL-040,CAND-033,aimesse-full,展示場 全面,exhibition,4860,,,unknown,unknown,,,,yes,temporary,conditional,unknown,https://www.yiso.or.jp/messe/facilities/,2026-07-30,verified,全面・2/3・1/3の3分割利用。主催者控室3室、大会議室150席、交流サロン102席を同一施設内に備える。天井高・床荷重・シアター収容は公式ページから未観測
DETAIL-041,CAND-033,aimesse-third,展示場 1/3,exhibition,1620,,,unknown,unknown,,,,no,temporary,conditional,unknown,https://www.yiso.or.jp/messe/facilities/,2026-07-30,verified,最小分割区画。照明はLED昼白色5000K、Ra70、器具光束25000lm。区画別搬入口・床条件・収容は要確認
DETAIL-042,CAND-020,okinawa-exhibition,展示棟 展示場,arena,2500,12.5,12.5,range_minimum,unknown,5000,1468,2000,no,temporary,yes,conditional,https://www.oki-conven.jp/top2/institution2/tenjitooutline/,2026-07-30,verified,展示有効部分約2500㎡、天井高は12.5〜24.5m（中央21m）。固定1468席・可動672席・移動席で舞台設置時4120席例、最大5000人。床耐圧2t/㎡、10t車両走行可、搬入口4か所、最大165㎡の組立舞台、吊フック122点
DETAIL-043,CAND-002,yumemesse-exhibition-full,本館展示棟 展示ホールA+B+C,exhibition,7500,13,13,minimum_clear,unknown,,,5000,yes,temporary,yes,conditional,https://www.yumemesse.or.jp/facility/main-building-exhibition-building/,2026-07-30,verified,無柱・コンクリート平土間。天井高17〜25m、間仕切受梁部13mのため検索用数値は最低値13m。3分割可。5m×5m搬入口3か所、車両進入可。主催者事務室・会議室・控室を各3室、給排水・場内放送・冷暖房・光通信ケーブル敷設対応
DETAIL-044,CAND-002,yumemesse-exhibition-third,本館展示棟 展示ホール1/3区画,exhibition,2500,13,13,published_clear,unknown,,,5000,no,temporary,yes,conditional,https://www.yumemesse.or.jp/facility/main-building-exhibition-building/,2026-07-30,verified,A・B・Cのいずれか1区画。全面7500㎡の3分割と公式施設検索の2500㎡区分から収録。天井高は全面の最低値13m。各区画に搬入口・主催者諸室あり
DETAIL-045,CAND-002,yumemesse-conference-hall,本館会議棟 大ホールA+B,flat_hall,410,5.9,5.9,published_clear,unknown,504,,500,yes,temporary,conditional,conditional,https://www.yumemesse.or.jp/facility/main-building-conference-building/,2026-08-06,verified,2分割可。240インチスクリーン、固定プロジェクター、移動観覧席を備え、基本仕様は机・椅子なしの可変レイアウト
DETAIL-046,CAND-050,sapporo-main-full,大ホール 全面,flat_hall,2607,12,,highest_point,unknown,2500,,,yes,fixed,conditional,conditional,https://www.sora-scc.jp/organizer/venue/,2026-07-30,verified,間口約63.5m・奥行約41.1m・天井最高部12m。昇降式ステージ、2・3分割、3か国語同時通訳ブースを装備。最大収容は機器設置により減少
DETAIL-047,CAND-050,sapporo-main-third-b,大ホール 3分割B,flat_hall,866,12,,highest_point,unknown,800,,,no,fixed,conditional,conditional,https://www.sora-scc.jp/organizer/venue/,2026-08-06,verified,3分割の中央区画。面積866㎡、最大800人。区画利用時の有効天井・舞台位置・投擲範囲は要確認
DETAIL-048,CAND-051,marine-a-main,多目的展示室 1階,arena,8000,20,20,range_minimum,unknown,15000,,5000,no,fixed,yes,conditional,https://www.marinemesse.or.jp/download/document/document_dl.php?document_no=1&id=38,2026-07-30,verified,102m×79m、天井高20〜30m、吊下げ総重量500t。床荷重5t/㎡だが昇降席0.55t/㎡・昇降舞台1t/㎡で車両乗入不可。最大15000人、来場者用約950台・関係者用約80台を利用手引きに記載
DETAIL-049,CAND-051,marine-a-subarena,サブアリーナ,practice_hall,1400,,,unknown,unknown,,,350,no,none,yes,unknown,https://www.marinemesse.or.jp/download/document/document_dl.php?document_no=1&id=38,2026-07-30,verified,3階。公式利用手引きがスポーツ競技時のウォームアップ会場として利用可能と明記。天井高・収容・配信回線は未観測
DETAIL-050,CAND-052,kita-hall,ホール,stage_hall,,,,unknown,unknown,700,,,no,fixed,conditional,unknown,https://www.osakacommunity.jp/kita-center/guide/fee/,2026-07-30,verified,舞台付き。椅子席700人、机使用時約300人。面積・天井高・固定席数・配信回線は未観測
DETAIL-051,CAND-053,ecole-hall,4階ホール（エコーレ）,transformable_hall,579,,,unknown,unknown,506,264,,yes,fixed,conditional,unknown,https://www.hall-ecole.org/files/libs/641/202401111622502130.pdf,2026-07-30,verified,基本506席。前方242席は平置き可動、後方264席はひな壇固定だが収納可能。全面フラット、半分仕切り、楽屋2室。天井高は未観測
DETAIL-052,CAND-054,iwakura-multipurpose,多目的ホール,stage_hall,,,,unknown,unknown,,,,no,fixed,conditional,unknown,https://www.city.iwakura.aichi.jp/0000000028.html,2026-07-30,verified,放送設備、音響反射板、照明、演台等の付帯設備と冷暖房料金を公式掲載。面積、定員、天井高、固定席、配信回線は未観測
DETAIL-053,CAND-055,sunamachi-training-1,第1研修室,flat_hall,225.2,,,unknown,unknown,200,,,yes,fixed,yes,unknown,https://www.kcf.or.jp/sunamachi/shisetsu/ichiran/detail/?id=123,2026-07-30,verified,フローリング。第2研修室と連結可能。舞台・照明、グランドピアノ、音響卓セットは別料金。ダンス、ヨガ、大会、コンクール等に利用可。天井高は未観測
DETAIL-054,CAND-056,nyc-large-hall,カルチャー棟 大ホール,stage_hall,,,,unknown,unknown,758,758,,no,fixed,conditional,unknown,https://nyc.niye.go.jp/lib/pdf/facilities/culture/hall_L.pdf,2026-07-30,verified,舞台間口約20m×奥行約10m。楽屋6室、楽屋事務室、音響室、投光室、映写室を備える。天井高は未観測
DETAIL-055,CAND-056,nyc-rehearsal,カルチャー棟 リハーサル室,practice_hall,300,,,unknown,unknown,100,,,no,temporary,yes,unknown,https://nyc.niye.go.jp/wp-content/uploads/2026/07/nyc_price20260707.pdf,2026-07-30,verified,約300㎡。公式施設案内では大練習室として定員100人、移動式鏡、バレーバー、移動ステージ等を備える
DETAIL-056,CAND-056,nyc-gym-1,スポーツ棟 第1体育室,practice_hall,816,,,unknown,unknown,,,,no,none,yes,unknown,https://nyc.niye.go.jp/wp-content/uploads/2026/07/nyc_price20260707.pdf,2026-07-30,verified,約816㎡。第2体育室も約816㎡、第3体育室は約851㎡。天井高、床材、同時利用時の動線・音条件は未観測
DETAIL-057,CAND-016,sunlake-multipurpose,多目的ホール,flat_hall,,,,unknown,unknown,224,,,yes,convertible,yes,unknown,https://www.town.kasuya.fukuoka.jp/s037/040/010/010/010/030/20191202181804.html,2026-07-30,verified,可動席を収納すると展示会、ダンス・バレエのレッスン、スクール形式講習会等に対応。2分の1利用可。面積、天井高、床材、舞台寸法は公式ページ上で未観測
DETAIL-058,CAND-016,sunlake-sakura,さくらホール,stage_hall,,,,unknown,unknown,560,560,,no,fixed,conditional,unknown,https://www.town.kasuya.fukuoka.jp/s037/040/010/010/010/20191115151740.html,2026-07-30,verified,560人収容のコンサート・発表会・講演会等向けホール。舞台のみ利用、リハーサル室、楽屋A〜Cあり。面積、天井高、舞台寸法は公式ページ上で未観測
DETAIL-059,CAND-057,gibun-multipurpose,多目的ホール全面,flat_hall,412,,,unknown,unknown,370,,,yes,temporary,conditional,conditional,https://gibun.jp/facility/,2026-07-30,verified,シアター370人、机・椅子297人。201㎡・200人のホール1と211㎡・170人のホール2へ分割可。講演会・展示会・ダンス形式に対応。全館Wi-Fiだが配信品質は未確認
DETAIL-060,CAND-058,bellesalle-akihabara-2fb,2F HALL B,event_hall,313,6,6,published_clear,unknown,308,,,yes,temporary,conditional,yes,https://www.bellesalle.co.jp/shisetsu/tokyo/bs_akihabara/detail/bs_akihabara_hall_2fb/,2026-08-06,verified,シアター308席、スクール3名掛け180席、島型120席。大型スクリーン、専有回線NURO、控室あり。過去大会がこの区画を利用したかは未確認
DETAIL-061,CAND-025,bigpalette-exhibition-full,多目的展示ホール全面,exhibition,5495,15,15,minimum_clear,unknown,5500,,2000,yes,temporary,conditional,conditional,https://big-palette.jp/promotor/room/exhibition-hall.html,2026-07-30,verified,無柱平土間。天井高15〜20m、キャットウォーク下13.5m。条件付き床荷重5t/㎡の区域があるが、通常値2t/㎡を2000kg/㎡へ換算。A・B・Cの3分割と2面結合に対応。催事配信は有線LANを基に個別Wi-Fi構築を施設が推奨
DETAIL-062,CAND-025,bigpalette-convention-full,コンベンションホール全面,flat_hall,953,7,7,published_clear,unknown,900,,500,yes,temporary,conditional,conditional,https://www.big-palette.jp/promotor/room/convention-hall.html,2026-08-06,verified,タイルカーペット平土間。A575㎡とB335㎡へ分割可。スクール500人、円卓300人。搬出入口2か所、250・200インチスクリーン、吊りバトン、電源取出盤あり
