source_id,official_name,prefecture,action,target_candidate_id,match_rule
LASENS-272,演劇専用小劇場BLOCH,北海道,new,,no_match
LASENS-2374,演劇空間スペースベン,青森県,new,,no_match
LASENS-2422,風のスタジオ,岩手県,new,,no_match
LASENS-2424,Quarter Studio,宮城県,new,,no_match
LASENS-3930,アートボックス卸町,秋田県,new,,no_match
LASENS-2474,百景社アトリエ,茨城県,new,,no_match
LASENS-3525,アトリエほんまる,栃木県,new,,no_match
LASENS-339,イコス上尾,埼玉県,new,,no_match
LASENS-591,柏Studio WUU,千葉県,new,,no_match
LASENS-4313,みんなのMINAKURU,長野県,new,,no_match
LASENS-3539,可児市文化創造センター ala 小劇場〈虹のホール〉,岐阜県,attach_space,CAND-253,name_room_of
LASENS-2816,あそviva!劇場,静岡県,new,,no_match
LASENS-3300,新江州シアター（小劇場）,滋賀県,attach_space,CAND-1125,manual_reviewed
LASENS-249,アートコンプレックス1928,京都府,new,,no_match
LASENS-332,HEP HALL,大阪府,new,,no_match
LASENS-2820,森の劇場 しいの実シアター【松江市八雲林間劇場】,島根県,attach_space,CAND-073,name_room_of
LASENS-2818,スタジオイマイチ,山口県,new,,no_match
LASENS-2555,小劇場 THEATER NEST,愛媛県,attach_space,CAND-074,manual_reviewed
LASENS-3614,アトリエPentA,長崎県,new,,no_match
LASENS-2438,アトリエ銘苅ベース,沖縄県,tag_only,CAND-068,name_exact
LASENS-2854,MsmileBOX渋谷,,new,,no_match
LASENS-2893,cube garden,北海道,new,,no_match
LASENS-2790,BLACKBOX,青森県,new,,no_match
LASENS-2794,えずこホール（仙南芸術文化センター）平土間ホール,宮城県,new,,no_match
LASENS-4069,わらび劇場,秋田県,new,,no_match
LASENS-2722,GSユアサいわき小劇場,福島県,new,,no_match
LASENS-596,さいたま市産業文化センター ホール,埼玉県,new,,no_match
LASENS-625,浦安市文化会館 小ホール,千葉県,attach_space,CAND-620,name_room_of
LASENS-664,りゅーとぴあ 新潟市民芸術文化会館 スタジオB,新潟県,attach_space,CAND-069,name_room_of
LASENS-622,新利賀山房,富山県,new,,no_match
LASENS-2876,NEONHALL,長野県,new,,no_match
LASENS-2480,うりんこ劇場,愛知県,new,,no_match
LASENS-347,in→dependent theatre 1st,大阪府,new,,no_match
LASENS-3322,Art Theater dB Kobe,兵庫県,new,,no_match
LASENS-3502,スタジオB,山口県,attach_space,CAND-1069,manual_reviewed
LASENS-2444,アトリエPentA,長崎県,new,,no_match
LASENS-3446,ひめゆりピースホール,沖縄県,new,,no_match
LASENS-3923,ジグスタ｜Zig Studio,,new,,no_match
LASENS-3440,渡辺源四郎商店しんまち本店2階稽古場,青森県,new,,no_match
LASENS-659,エル・パーク仙台 スタジオホール,宮城県,new,,no_match
LASENS-3595,あきた芸術村 小劇場,秋田県,new,,no_match
LASENS-439,加須文化・学習センター パストラルかぞ 小ホール,埼玉県,new,,no_match
LASENS-584,浦安市民プラザWave101 多目的小ホール,千葉県,new,,no_match
LASENS-227,両国・エアースタジオ,東京都,new,,no_match
LASENS-2573,スペース・オルタ,神奈川県,new,,no_match
LASENS-2419,月潟稽古場,新潟県,new,,no_match
LASENS-2476,犀の角,長野県,tag_only,CAND-071,name_exact
LASENS-4092,シアターココ,愛知県,new,,no_match
LASENS-2482,津あけぼの座,三重県,new,,no_match
LASENS-2547,朗読専用劇場rLabo.,京都府,new,,no_match
LASENS-348,in→dependent theatre 2nd,大阪府,new,,no_match
LASENS-223,アクロス福岡 円形ホール,福岡県,attach_space,CAND-1150,name_room_of
LASENS-2633,諫早独楽（コマ）劇場,長崎県,new,,no_match
LASENS-2740,沖縄市民小劇場あしびなー,沖縄県,new,,no_match
LASENS-2587,アートコミュニティスペースKAIKA,,new,,no_match
LASENS-262,アトリエ阿呆船,北海道,new,,no_match
LASENS-3249,八戸ポータルミュージアム はっち シアター2,青森県,new,,no_match
LASENS-4078,THEATERえびす,宮城県,new,,no_match
LASENS-583,浦安市民プラザWave101 多目的大ホール,千葉県,new,,no_match
LASENS-611,APOCシアター,東京都,new,,no_match
LASENS-501,STスポット,神奈川県,tag_only,CAND-065,name_parent_of
LASENS-568,富山県民小劇場ORBIS,富山県,tag_only,CAND-070,name_exact
LASENS-2440,上土劇場,長野県,new,,no_match
LASENS-592,静岡県舞台芸術公園 野外劇場「有度」,静岡県,new,,no_match
LASENS-2442,THEATRE E9 KYOTO,京都府,tag_only,CAND-066,name_exact
LASENS-374,大阪市立青少年センター KOKO PLAZA エクスプレス・ココ200（練習発表室）,大阪府,attach_space,CAND-1489,name_room_of
LASENS-2466,江原河畔劇場,兵庫県,new,,no_match
