prefecture,city,facility,pattern,space_name,space_type,official_url,facts,risk,capacity,area_m2
愛知県,北名古屋市,名古屋芸術大学アートスクエア（文化勤労会館）,stage_and_practice_complex,大ホール,stage_hall,https://www.city.kitanagoya.lg.jp/bunka/rekishi/1004049/1004055/1004056/1004060.html,大ホール754席と車椅子3席と親子4席を公式掲載,舞台高は室内天井高に転用しない,761,
愛知県,扶桑町,扶桑文化会館,stage_and_practice_complex,ホール,stage_hall,https://www.town.fuso.lg.jp/fusobunka/1002447/1002778.html,ホールと展示室とリハーサル室を公式掲載,ホール客席数は要確認,,
愛知県,蟹江町,蟹江中央公民館分館（蟹江町産業文化会館内）,community_stage_hall,大会議室,meeting_hall,https://www.town.kanie.aichi.jp/soshiki/18/chuou-kouminkan-bunkan.html,大会議室219.71平方メートルと椅子200人と音響を公式掲載,舞台設備と搬入条件は要確認,200,219.71
愛知県,飛島村,総合社会教育センター中央公民館ホール,stage_and_practice_complex,中央公民館ホール,stage_hall,https://www.vill.tobishima.aichi.jp/sonsei/shisetsu/1002768/1002771.html,1080席と舞台18m×11m×高8mとリハーサル室を公式掲載,舞台高は室内天井高に転用しない,1080,
愛知県,大治町,大治町立公民館,community_stage_hall,講堂・体育室,sports_hall,https://www.town.oharu.aichi.jp/2544.htm,講堂体育室715平方メートルと収容700人を公式掲載,体育利用以外の舞台設備と搬入は要確認,700,715
愛知県,東栄町,花祭会館,exhibition_and_culture,花祭会館,exhibition_hall,https://www.town.toei.aichi.jp/3633.htm,花祭展示と映像コーナーと会館使用料を公式掲載,展示中心のため大型催事適性は要確認,,
愛知県,南知多町,南知多町総合体育館,arena_and_meetings,メインアリーナ,sports_arena,https://www.town.minamichita.lg.jp/shisetsu/1001540/1001541.html,メイン38m×38mと観覧席248席を公式掲載,天井高と搬入と催事利用条件は要確認,248,1444
愛知県,美浜町,美浜町総合公園体育館,arena_and_stage,サブアリーナ,sports_hall,https://www.town.aichi-mihama.lg.jp/kanko-bunka-sports/sports/sportsshisetsu/1517.html,サブ380平方メートルと移動336席と舞台照明音響を公式掲載,舞台高と搬入と催事回線は要確認,336,380
愛知県,豊根村,豊根村文化ホール兼体育館,community_stage_hall,文化ホール兼体育館,sports_hall,https://www.vill.toyone.aichi.jp/soshiki/kyoiku/141.html,収納式可動客席150席を公式掲載,面積と搬入と料金は要確認,150,
愛知県,愛西市,あいさい笑鵬公民館（旧佐織公民館）,stage_and_practice_complex,ホール,stage_hall,https://www.city.aisai.lg.jp/0000000762.html,500席ホールと音響照明利用時の事前打合せを公式掲載,改称後の料金と搬入条件は要確認,500,
愛知県,名古屋市,市民ギャラリー矢田,exhibition_and_meetings,第2展示室,exhibition_hall,https://www.city.nagoya.jp/kankou/bunka/1034457/1016004/1016026.html,展示室7室を公式掲載,展示用途のため舞台利用には不向き,,121
愛知県,名古屋市,市民ギャラリー栄,exhibition_and_meetings,第1展示室,exhibition_hall,https://www.city.nagoya.jp/kankou/bunka/1034457/1016004/1016025.html,展示室11室を公式掲載,展示用途のため舞台利用には不向き,,108
愛知県,名古屋市,名古屋国際センター,convention_and_stage_complex,別棟ホール,meeting_hall,https://www.city.nagoya.jp/kankou/bunka/1034457/1016004/1016034.html,別棟ホール最大250人と会議室6室と展示室3室を公式掲載,搬入と床荷重と専有回線は要確認,250,
愛知県,名古屋市,女性会館（イーブルなごや）,stage_and_meetings,ホール,stage_hall,https://www.city.nagoya.jp/kodomo/shougaigakushu/1015902/1015939.html,ホールと集会室と研修室の貸室を公式掲載,2027年4月料金改定予定と利用条件は要確認,,
愛知県,名古屋市,中川生涯学習センター,learning_and_meetings,視聴覚室,meeting_hall,https://www.suisin.city.nagoya.jp/system/institution/index.cgi?action=inst_view&class=&inst_key=1164771540,視聴覚室定員70人と美術室と料理室を公式掲載,体育室仕様と搬入と空き状況は要確認,70,
愛知県,名古屋市,中生涯学習センター,learning_and_meetings,体育室,sports_hall,https://www.city.nagoya.jp/kodomo/shougaigakushu/1015902/1015903/1034378.html,生涯学習センターは集会室と視聴覚室と美術室と体育室を貸出,個別室仕様と利用条件は要確認,,
愛知県,名古屋市,西生涯学習センター,learning_and_meetings,体育室,sports_hall,https://www.city.nagoya.jp/kodomo/shougaigakushu/1015902/1015903/1034378.html,生涯学習センターは集会室と視聴覚室と美術室と体育室を貸出,個別室仕様と利用条件は要確認,,
