prefecture,city,facility,pattern,space_name,space_type,official_url,facts,risk,capacity,area_m2
福岡県,福岡市,マリンメッセ福岡B館,arena_exhibition_complex,多目的展示室,exhibition_hall,https://www.marinemesse.or.jp/messe-b/,多目的展示室5000平方メートル・天井高15メートル・床荷重5トン毎平方メートル・最大6000人,用途や催事配置により収容人数と料金が変動,6000,5000
福岡県,福岡市,福岡市美術館,stage_exhibition_and_practice_complex,ミュージアムホール,stage_hall,https://www.fukuoka-art-museum.jp/guide/lending/,288.2平方メートル・180席と車椅子2席・上映会や演劇やコンサートに利用可能,文化芸術等の利用に審査あり,182,288.2
福岡県,福岡市,福岡アジア美術館,stage_exhibition_and_practice_complex,あじびホール,stage_hall,https://faam.city.fukuoka.lg.jp/guidance/lending/,約140平方メートル・最大100席・文化芸術活動の貸出対象,非営利の文化芸術事業に利用限定,100,140
福岡県,福岡市,大濠公園能楽堂,stage_theater,能楽堂,stage_hall,https://www.ohori-nougaku.jp/about/,椅子440席・桟敷120席・車椅子2席,一般利用は1年前から稽古練習は6か月前から受付,562,
福岡県,福岡市,福岡県立美術館,exhibition_and_meeting_complex,視聴覚室,meeting_hall,https://fukuoka-kenbi.jp/for-rental/,87平方メートル・テーブル付椅子50席程度・文化に関わる行事の貸出対象,展示用途や視聴覚室の利用には条件あり,50,87
福岡県,北九州市,関門海峡ミュージアム,exhibition_and_meeting_complex,多目的ホール,multi_purpose_hall,https://mojiko-retoro9.jp/for_corporate/,簡易ステージ・音響・スクリーン等の貸出備品あり,詳細定員と面積は申込前に確認,,
福岡県,北九州市,レインボープラザ,community_stage_complex,中ホール,multi_purpose_hall,https://www.city.kitakyushu.lg.jp/contents/924_11940.html,中ホール・会議研修室・絵画室・和室・音楽室を備える複合公共施設,詳細定員と面積は申込前に確認,,
福岡県,北九州市,旧古河鉱業若松ビル,exhibition_and_meeting_complex,多目的ホールA,multi_purpose_hall,https://www.city.kitakyushu.lg.jp/contents/27000095.html,152.27平方メートル・スクール形式60人程度,予約により22時まで利用可・詳細条件要確認,60,152.27
福岡県,北九州市,北九州穴生ドーム,arena_and_meetings,全天候型ドーム式多目的グラウンド,indoor_sports_dome,https://www.city.kitakyushu.lg.jp/contents/924_11805.html,ゲートボール・グラウンドゴルフ・テニス・ソフトバレー等に対応,個人利用優先日と専用利用の条件あり,,
福岡県,宮若市,多目的会館マリーホール宮田,stage_and_meeting_complex,マリーホール,stage_hall,https://www.city.miyawaka.lg.jp/kiji003446014/index.html,市公式の使用料表に付属設備と空調代を掲載,客席数と面積は申込前に確認,,
福岡県,水巻町,水巻町中央公民館,stage_and_meeting_complex,大ホール,stage_hall,https://www.town.mizumaki.lg.jp/s045/map/010/20201028133906.html,電動式可動席500席を備える大ホール,可動席の常設状態と料金は申込前に確認,500,
福岡県,遠賀町,遠賀町中央公民館,stage_and_meeting_complex,大ホール,stage_hall,https://www.town.onga.lg.jp/map/6134.html,大ホールを備える文化活動の中核施設,客席数と面積は申込前に確認,,
福岡県,豊前市,豊前市市民会館,stage_and_meeting_complex,大ホール,stage_hall,https://buzen-geibun.sakura.ne.jp/concept.html,大ホールと中小会議室と和室を利用可能・現行料金表あり,408席は別資料のため正本転記前に一次情報で再確認,,
福岡県,築上町,築上町文化会館コマーレ,stage_and_meeting_complex,大ホール,stage_hall,https://www.town.chikujo.fukuoka.jp/li/010/110/020/060/index.html,大ホールと大小会議室を備え町の文化祭ステージ利用あり,388席は別資料のため正本転記前に一次情報で再確認,,
福岡県,吉富町,吉富フォーユー会館,stage_and_meeting_complex,大ホール,stage_hall,https://www.town.yoshitomi.lg.jp/gyosei/r197/w104/,大ホールと研修室と和室と視聴覚室を備えオンライン予約と使用料を掲載,客席数と面積は申込前に確認,,
福岡県,福智町,福智町地域交流センター,community_stage_complex,地域交流センター,multi_purpose_hall,https://www.town.fukuchi.lg.jp/soshiki/gakushu/3774.html,地域交流センターの時間単位料金を掲載,具体的な室名と定員と面積は申込前に確認,,
福岡県,宮若市,宮田文化センター,stage_and_meeting_complex,大ホール,stage_hall,https://www.city.miyawaka.lg.jp/kiji003449274/index.html,市の現行予約システムで大ホールを予約対象として掲載,客席数と面積と利用条件は申込前に確認,,
