prefecture,city,facility,pattern,space_name,space_type,official_url,facts,risk,capacity,area_m2
東京都,港区,麻布区民センター,community_stage_hall,区民ホール,community_hall,https://www.city.minato.tokyo.jp/documents/27116/20260326154625.pdf,2026年4月の区施設予約案内に区民ホールを掲載,客席数と舞台仕様と搬入条件は要確認,,
東京都,港区,高輪区民センター,community_stage_hall,区民ホール,community_hall,https://www.city.minato.tokyo.jp/documents/27116/20260326154625.pdf,2026年4月の区施設予約案内に区民ホールと音楽スタジオを掲載,客席数と舞台仕様と搬入条件は要確認,,
東京都,港区,芝浦港南区民センター,community_stage_hall,区民ホール,community_hall,https://www.city.minato.tokyo.jp/shiba-koukanri/kumincenter/sibaurakumincenter.html,区民ホール定員235名を掲載,舞台仕様と搬入条件は要確認,235,
東京都,港区,台場区民センター,community_stage_hall,区民ホール,community_hall,https://www.city.minato.tokyo.jp/documents/27116/20260326154625.pdf,2026年4月の区施設予約案内に区民ホールを掲載,客席数と舞台仕様と搬入条件は要確認,,
東京都,港区,男女平等参画センター リーブラ,stage_and_meeting_complex,ホール,community_hall,https://www.city.minato.tokyo.jp/documents/27116/20260326154625.pdf,2026年4月の区施設予約案内にホールを掲載,客席数と舞台仕様と搬入条件は要確認,,
東京都,台東区,台東区生涯学習センター ミレニアムホール,stage_hall,ミレニアムホール,stage_hall,https://www.city.taito.lg.jp/gakushu/shogaigakushu/shogaigakushusisetsu/syougaigakusyuucente/furoaannai/2kai.html,固定300席で舞台12.4m×7.2mを掲載,天井高と搬入条件は要確認,300,329
東京都,品川区,五反田文化センター,stage_and_practice_complex,音楽ホール,stage_hall,https://www.city.shinagawa.tokyo.jp/PC/shisetsu/shisetsu-bunka/shisetsu-bunka-bunka/hpg000028612.html,固定248席と車椅子2席で舞台高8.6mを掲載,2026年9月24日から12月8日は貸出休止予定,250,
東京都,品川区,CITY HALL & GALLERY GOTANDA,conference_and_event_complex,イベントホール,event_hall,https://www.city.shinagawa.tokyo.jp/PC/shisetsu/shisetsu-bunka/shisetsu-bunka-bunka/20230731164357.html,セミナーと講演会に利用できるイベントホールを掲載,定員と面積と搬入条件は要確認,,
東京都,世田谷区,北沢区民会館 北沢タウンホール,stage_and_meeting_complex,ホール,stage_hall,https://www.city.setagaya.lg.jp/02205/8535.html,区公式の現行区民会館案内に掲載,客席数と舞台仕様と搬入条件は要確認,,
東京都,世田谷区,砧区民会館 成城ホール,stage_and_meeting_complex,ホール,stage_hall,https://www.city.setagaya.lg.jp/02219/8533.html,ホール定員397名と面積370㎡を掲載,舞台仕様と搬入条件は要確認,397,370
東京都,世田谷区,北沢区民会館別館 梅丘パークホール,stage_and_meeting_complex,集会室,meeting_hall,https://www.city.setagaya.lg.jp/shisetsu/kumin/12700.html,区民会館一覧に掲載し資料は集会室120名と197㎡を示す,舞台の有無と搬入条件は要確認,120,197
東京都,世田谷区,玉川区民会館 玉川せせらぎホール,stage_and_meeting_complex,ホール,stage_hall,https://www.city.setagaya.lg.jp/shisetsu/kumin/12700.html,区公式の現行区民会館一覧に掲載,客席数と舞台仕様と搬入条件は要確認,,
東京都,世田谷区,玉川区民会館別館 上用賀アートホール,stage_and_meeting_complex,ホール,stage_hall,https://www.city.setagaya.lg.jp/shisetsu/kumin/12700.html,区公式の現行区民会館一覧に掲載,客席数と舞台仕様と搬入条件は要確認,,
東京都,練馬区,区民・交流ホール Coconeriホール,transformable_community_hall,ホール,flat_floor_hall,https://www.city.nerima.tokyo.jp/shisetsu/community/coconeri/kkh.html,平土間530㎡で最大500名を掲載,天井高と舞台仕様と搬入条件は要確認,500,530
東京都,練馬区,光が丘区民ホール,community_stage_hall,光が丘区民ホール,community_hall,https://www.city.nerima.tokyo.jp/shisetsu/bunka/kuminhall/hikarigaokakuminnhor.html,区公式が付帯設備料金を掲載,定員と面積と舞台仕様は要確認,,
