queue_order,source_id,source_status,source_name,source_url,source_address,source_prefecture,source_capacity,source_updated_at,discovered_at,official_url,official_name,official_status,official_capacity,official_area_m2,official_price_url,official_access_url,official_conditions_url,official_observed_at,verification_status,canonical_candidate_id,notes
1,LASENS-272,listed,BLOCH,https://lasens.com/database/theater-272.html,北海道札幌市中央区北3条東5丁目5 岩佐ビル1F,北海道,100,2022-07-01,2026-07-31,https://bloch-web.net/,演劇専用小劇場BLOCH,current,,,https://bloch-web.net/wp/wp-content/uploads/2013/05/00_BLOCHprice.pdf,https://bloch-web.net/アクセス/,https://bloch-web.net/wp/wp-content/uploads/2013/05/00_BLOCHprice.pdf,2026-07-31,primary_partial,,"公式サイトに2026年の公演予定を確認。客席・面積・料金表の現行適用条件は次波で精査"
2,LASENS-2374,listed,スペースBEN,https://lasens.com/database/theater-2374.html,青森県八戸市柏崎1-11-8,青森県,,2020-06-23,2026-07-31,https://spaceben.com/index.html,小劇場スペースベン,current,,,,,https://spaceben.com/spaceben.html,2026-07-31,primary_partial,,"公式サイトに2026年7月の更新を確認。公式施設概要PDFの客席・面積・料金は次波で精査"
3,LASENS-2422,listed,風のスタジオ（いわてアートサポートセンター）,https://lasens.com/database/theater-2422.html,岩手県盛岡市肴町4-20 永卯ビル3階,岩手県,120,2020-06-23,2026-07-31,https://kaze.iwate-arts.jp/,風のスタジオ,current,,,,https://kaze.iwate-arts.jp/access/,,2026-07-31,primary_partial,,"公式サイトに2026年の公演予定と2026年2月の料金改定告知を確認。施設・料金詳細は次波で精査"
4,LASENS-2424,listed,Quarter Studio（クオータースタジオ）,https://lasens.com/database/theater-2424.html,宮城県仙台市青葉区五橋2-9-10 アラキビルB1F,宮城県,25,2020-06-23,2026-07-31,https://sendard.jp/qst/yotei.html,Quarter Studio,current,,,,,https://sendard.jp/qst/yotei.html,2026-07-31,primary_partial,,"公式サイトに2026年の予約予定と1年前からの予約案内を確認。客席・面積・料金は次波で精査"
5,LASENS-3930,listed,アートボックス卸町,https://lasens.com/database/theater-3930.html,秋田県秋田市卸町5-16-29,秋田県,,2024-09-05,2026-07-31,https://www.pal-base.org/artbox/index.html,アートボックス卸町,current,,,,,,2026-07-31,primary_partial,,"運営法人の公式サイトに施設概要・利用方法・アクセスの導線を確認。客席・面積・料金は次波で精査"
6,LASENS-2472,listed,La MaMa Odaka,https://lasens.com/database/theater-2472.html,福島県南相馬市小高区東町1-10,福島県,,2020-06-23,2026-07-31,https://odaka-fullhouse.jp/,Rain Theatre,unknown,,,,https://odaka-fullhouse.jp/,,2026-07-31,primary_partial,,"公式サイトは同住所でRain Theatreを掲載。La MaMa ODAKAとの同一性・改称関係は一次情報内で未確認"
7,LASENS-2474,listed,百景社アトリエ,https://lasens.com/database/theater-2474.html,茨城県土浦市真鍋3-10-18,茨城県,50,2020-06-23,2026-07-31,https://atelier100.tumblr.com/,百景社アトリエ,current,,,,,,2026-07-31,primary_partial,,"公式サイトに2026年の公演予定と所在地を確認。客席・面積・貸館料金は次波で精査"
8,LASENS-3525,listed,アトリエほんまる,https://lasens.com/database/theater-3525.html,栃木県宇都宮市本丸町1-39,栃木県,65,2022-09-01,2026-07-31,https://honmaru.tochi2.com/,アトリエほんまる,current,,,,,,2026-07-31,primary_partial,,"公式サイトに2026年の公演予定と所在地を確認。客席・面積・貸館料金は次波で精査"
9,LASENS-339,listed,イコス上尾(多目的ホール),https://lasens.com/database/theater-339.html,埼玉県上尾市大字平塚951-2,埼玉県,286,2020-06-24,2026-07-31,https://www.ageo-kousya.or.jp/ikosu/,イコス上尾,current,286,,https://www.ageo-kousya.or.jp/ikosu/detail.php?eid=00006,https://www.ageo-kousya.or.jp/ikosu/detail.php?eid=00002,https://www.ageo-kousya.or.jp/ikosu/detail.php?eid=00001,2026-07-31,verified_primary,,"指定管理者公式サイトで2026年の運営情報、定員286席、料金、アクセス、利用制限を確認"
10,LASENS-591,listed,WUU,https://lasens.com/database/theater-591.html,千葉県柏市柏1-5-20 プールドウ5F,千葉県,80,2020-06-24,2026-07-31,https://www.wuu.co.jp/,柏Studio WUU,current,80,,https://www.wuu.co.jp/hallrental.html,https://www.wuu.co.jp/access.html,https://www.wuu.co.jp/hallrental.html,2026-07-31,verified_primary,,"公式サイトで2026年の公演予定、80席、貸切料金、アクセス、利用条件を確認"
